date,open,high,low,close,volume,simple_ret,log_ret
2000-03-21,106.1,111.9,103.6,111.8,33435100,,
2000-03-22,113.5,116.0,111.1,114.0,24370200,0.019677996422182487,0.019486887673496694
2000-03-23,114.5,117.8,113.6,116.0,19227400,0.01754385964912286,0.01739174271186924
2000-03-24,117.48,120.5,115.02,117.56,22063000,0.013448275862069092,0.013358650444352083
2000-03-27,118.0,119.5,117.1,117.8,11752600,0.0020415107179312386,0.0020394296667696973
2000-03-28,117.0,117.8,113.1,114.8,18336300,-0.025466893039049254,-0.025796787332020305
2000-03-29,115.4,115.4,110.0,110.0,27189500,-0.04181184668989546,-0.0427111180930498
2000-03-30,107.3,112.8,103.5,107.3,42328700,-0.024545454545454537,-0.024851716155763433
2000-03-31,108.1,110.6,104.0,109.5,31349900,0.020503261882572232,0.02029589961990273
2000-04-03,107.8,109.1,100.8,102.9,31551300,-0.0602739726027397,-0.06216690641655156
2000-04-04,103.6,103.9,88.31,101.9,66213000,-0.0097181729834791,-0.009765702611324789
2000-04-05,97.5,103.9,96.25,100.1,37631500,-0.01766437684003941,-0.017822253907504384
2000-04-06,102.4,103.9,99.75,102.5,30499900,0.023976023976024052,0.023693112257288044
2000-04-07,104.1,107.4,102.6,106.6,20645500,0.040000000000000036,0.03922071315328133
2000-04-10,107.6,107.7,99.25,99.5,26988200,-0.06660412757973733,-0.06892586756719707
2000-04-11,97.13,101.5,95.06,97.75,34497100,-0.017587939698492483,-0.017744445299071956
2000-04-12,97.62,98.75,90.25,92.0,34824400,-0.05882352941176472,-0.060624621816434854
2000-04-13,92.81,96.0,88.0,88.0,46330500,-0.04347826086956519,-0.04445176257083381
2000-04-14,86.06,88.5,78.0,80.38,60851300,-0.08659090909090916,-0.0905714254571515
2000-04-17,78.02,90.0,78.0,89.63,55398500,0.11507837770589702,0.10892469634821529
2000-04-18,89.48,93.0,87.38,92.0,36260900,0.02644203949570456,0.026098491679769985
2000-04-19,92.5,93.63,89.06,89.06,28082500,-0.03195652173913044,-0.032478277155483994
2000-04-20,90.38,90.97,86.06,87.25,21255600,-0.02032337749831581,-0.020532738811019843
2000-04-24,83.44,85.25,79.88,84.75,31190900,-0.028653295128939882,-0.02907181482197696
2000-04-25,86.5,90.5,86.0,90.47,28663200,0.06749262536873157,0.06531255777709062
2000-04-26,90.63,92.42,87.13,87.38,25688300,-0.03415496849784461,-0.034751880514360456
2000-04-27,84.0,92.48,82.25,91.25,37010400,0.04428931105516143,0.04333656893931113
2000-04-28,93.56,94.75,92.13,94.75,24828400,0.03835616438356171,0.03763885149993491
2000-05-01,95.75,96.88,94.25,95.63,23205700,0.00928759894459108,0.009244734398915627
2000-05-02,94.88,95.63,89.75,90.13,20307900,-0.057513332636202064,-0.05923350579313293
2000-05-03,89.5,90.25,85.52,89.13,26589700,-0.011095084877399297,-0.01115709442569243
2000-05-04,89.0,90.75,87.63,89.31,17750700,0.0020195220464491737,0.002017485553168909
2000-05-05,88.13,92.31,88.03,91.44,20571200,0.023849512932482275,0.02356955579076042
2000-05-08,90.5,90.75,87.75,87.88,13903000,-0.03893263342082243,-0.03971077197014579
2000-05-09,88.5,89.13,84.31,86.0,19825800,-0.02139280837505686,-0.02162495126290169
2000-05-10,84.38,84.98,79.5,79.75,34847500,-0.07267441860465118,-0.0754505545885538
2000-05-11,82.75,85.25,80.88,84.63,24709700,0.06119122257053289,0.059392072017060635
2000-05-12,85.38,87.56,84.0,84.63,17832000,0.0,0.0
2000-05-15,84.81,88.63,82.63,88.31,17950800,0.043483398322108124,0.04256453779869636
2000-05-16,90.0,91.5,88.06,90.81,23758800,0.02830936473785539,0.027916060221026228
2000-05-17,89.25,90.5,87.75,88.94,20339400,-0.020592445765884815,-0.02080742661918658
2000-05-18,89.0,89.36,85.38,85.75,19063000,-0.03586687654598608,-0.036525899036501115
2000-05-19,83.75,85.0,81.31,81.69,28178100,-0.04734693877551022,-0.04850449069227139
2000-05-22,81.63,82.25,75.58,81.63,43879800,-0.0007344840249724482,-0.000734753890513295
2000-05-23,81.38,82.63,74.25,74.81,31898500,-0.08354771530074723,-0.08724527557895102
2000-05-24,75.0,79.88,72.25,79.5,49476000,0.06269215345542034,0.060805455775972614
2000-05-25,80.25,82.25,76.5,77.75,29632700,-0.022012578616352196,-0.022258470600942697
2000-05-26,77.75,79.25,75.75,77.75,18203200,0.0,0.0
2000-05-30,80.0,85.94,80.0,85.56,31590400,0.1004501607717041,0.0957193331548613
2000-05-31,84.47,86.67,83.38,83.5,29675400,-0.024076671341748512,-0.024371252357395113
2000-06-01,85.19,88.38,84.0,87.38,28993500,0.046467065868263324,0.04541979166647988
2000-06-02,92.63,93.94,82.5,93.63,31677200,0.07152666514076444,0.0690844214275079
2000-06-05,92.25,95.31,91.88,93.86,23784300,0.002456477624692921,0.002453465415473825
2000-06-06,93.19,95.0,90.88,91.25,23200500,-0.027807372682718934,-0.028201317903670704
2000-06-07,91.56,94.0,89.56,93.69,22524400,0.02673972602739716,0.026388467500495914
2000-06-08,94.63,94.88,91.63,93.25,19313800,-0.004696338990287097,-0.004707401439171956
2000-06-09,94.75,94.75,93.0,93.75,17014600,0.00536193029490617,0.005347606326595277
2000-06-12,94.31,94.31,90.0,90.75,16484700,-0.03200000000000003,-0.03252319170556006
2000-06-13,90.5,94.63,89.36,94.25,25187900,0.038567493112947604,0.037842353183159934
2000-06-14,94.88,94.88,91.5,92.13,20274500,-0.022493368700265304,-0.022750203207279506
2000-06-15,91.88,93.88,90.88,93.75,18807800,0.017583848909150213,0.017431041729679603
2000-06-16,94.75,95.31,93.06,94.25,21203400,0.005333333333333412,0.005319161477600027
2000-06-19,94.02,98.25,92.69,98.0,20042500,0.039787798408488007,0.03901665234245172
2000-06-20,98.25,99.69,97.19,97.63,20988300,-0.0037755102040817334,-0.0037826554329919086
2000-06-21,96.81,99.72,96.69,98.88,20880600,0.01280344156509261,0.012722170471800444
2000-06-22,98.63,99.0,94.5,95.25,21526700,-0.03671116504854366,-0.03740197970257027
2000-06-23,95.0,95.5,91.38,91.5,24888100,-0.03937007874015752,-0.04016604172533476
2000-06-26,93.06,94.42,92.0,94.0,22169200,0.02732240437158473,0.026955809988528295
2000-06-27,93.77,95.06,92.38,92.88,14786000,-0.01191489361702136,-0.011986444880367923
2000-06-28,92.98,95.5,92.5,94.0,19259800,0.012058570198105079,0.011986444880367835
2000-06-29,92.94,93.38,90.63,91.64,21355800,-0.025106382978723363,-0.02542692468470908
2000-06-30,91.81,93.95,91.31,93.44,15153100,0.01964207769532944,0.019451661494622047
2000-07-03,93.5,95.25,93.25,95.25,5212000,0.019370719178082307,0.01918549492689353
