date,low_vol_prob,high_vol_prob,state,open,high,low,close,volume,simple_ret,log_ret
2019-03-21,1.0,5.2745888884746474e-18,0,49.99,50.0,48.2,48.98,1764671,-0.0164658634538152,-0.0166029325065855
2019-03-22,0.9999517572851079,4.824271471574357e-05,0,48.8,49.95,48.16,48.6,844690,-0.0077582686810941,-0.0077885206175734
2019-03-25,0.9998883142097915,0.00011168579035524565,0,48.6,49.4,48.0,49.15,440892,0.0113168724279835,0.0112533156867274
2019-03-26,0.9997457990959422,0.00025420090384752753,0,49.0,49.75,48.18,48.85,504734,-0.0061037639877924,-0.0061224681043837
2019-03-27,0.9993235535250048,0.0006764464750625975,0,49.0,50.78,49.0,50.1,1788588,0.0255885363357215,0.0252666296020273
2019-03-28,0.9987264751282735,0.0012735248715171443,0,50.9,51.0,49.915,50.85,585438,0.0149700598802395,0.0148591144037499
2019-03-29,0.9972175086499476,0.002782491349891647,0,49.52,52.48,49.18,51.63,1769027,0.0153392330383481,0.0152227763969888
2019-04-01,0.9935184689760335,0.006481531024148137,0,52.3,54.39,51.25,53.5,19663442,0.0362192523726514,0.035578755010403
2019-04-02,0.9907385570266386,0.009261442973165907,0,55.12,57.39,54.3,56.25,17414153,0.0514018691588784,0.0501243871825686
2019-04-03,0.9910995629671279,0.008900437032961183,0,57.08,57.2,55.51,56.88,15066169,0.0112,0.011137744410456
2019-04-04,0.9900476842988388,0.009952315701301956,0,57.2,60.52,57.1,59.71,13311868,0.0497538677918425,0.0485557250639156
2019-04-05,0.9914466259166187,0.00855337408328267,0,58.39,58.98,56.27,57.24,17000788,-0.0413666052587505,-0.0422465558706508
2019-04-08,0.9955291411263731,0.00447085887357542,0,56.5,58.39,56.27,57.15,10764569,-0.0015723270440252,-0.0015735644474305
2019-04-09,0.9967501573961821,0.0032498426037520277,0,56.8,57.2,56.08,56.27,9179922,-0.0153980752405948,-0.015517856795632
2019-04-10,0.9970951278488572,0.0029048721509626705,0,55.99,56.41,55.1,55.71,9081860,-0.0099520170606006,-0.0100018694124634
